Date	Basin_4_MERIS_Chl_a	Basin_3_MERIS_Chl_a	Basin_2_MERIS_Chl_a	Basin_1_MERIS_Chl_a
20060928	3.7245936	21.688625	16.041796	13.490772
20061008	4.3608646	20.382242	14.579136	8.748139
20061018	4.6287684	11.014181	8.695643	6.9711556
20061028	11.155016	15.905085	11.307452	10.522466
20061107	6.0337853	8.01934	8.84093	9.467032
20061117	8.415683	7.8010526		9.639909
20061127				
20061207	6.8787727	8.223139	10.060447	9.938783
20061217				
20070101			10.147403	9.82585
20070111	6.666937	9.117199	10.774819	10.472774
20070121	7.5154567			11.211218
20070131	8.036494	8.760753	9.962927	10.864435
20070210	6.310686	7.686833	8.768736	11.834661
20070220	7.6363645	9.828862		
20070302	6.4826856	11.339144		
20070312	7.9517493	11.165361	15.84782	15.9552965
20070322	12.549539	18.131432	20.31927	18.277191
20070401	7.4770083	13.545592	17.52938	12.579853
20070411	3.9375339	5.417194	3.463277	3.6797302
20070421	3.6392808	4.112773	0.56588995	3.5607572
20070501	1.1629882	1.8736218	0.24000742	1.9542497
20070511	0.89864415	2.4008632	1.8110352	6.9361715
20070521	2.098423	4.5396757	2.6509295	9.8697815
20070531	-0.26403767	1.2570287	2.2632558	13.103175
20070610	-2.030198	-2.5151212	0.21008137	9.775929
20070620	-2.6504622	-1.2108656	0.6506838	8.353489
20070630	2.6134202	6.8926554	11.200381	11.019818
20070710	1.5502971	4.186797	7.725761	10.827825
20070720	0.32102767	6.082054	8.789942	12.7648735
20070730	-0.3456196	17.61905	15.690878	44.4114
20070809	-0.028913418	28.653883	24.829666	35.16811
20070819	-0.35638344	25.794748	28.261253	36.14986
20070829	6.452645		33.889343	41.673695
20070908	6.8975673	21.263914	23.142754	22.954872
20070918	5.600871	16.459501	14.14613	17.72333
20070928	7.3455157	10.729651	9.448648	13.139892
20071008	6.028576	7.6792617	9.304501	9.5273695
20071018	6.0864325	8.613661	10.440815	
20071028	6.4610505	6.9131413	10.065662	9.181649
20071107	6.2578545	8.720411	11.816946	10.288611
20071117	4.740276			9.759264
20071127	8.748125	10.116655	11.225725	10.876104
20071207				
20071217				
20080101				
20080111				
20080121	9.452453	10.093311	10.025856	10.40819
20080131	6.230218	9.41329	10.254727	11.086618
20080210	7.1996765	10.722831	12.4767	11.041798
20080220	5.303409	9.410627	11.282777	10.957551
20080301	5.607318	9.286639	12.076334	11.007865
20080311	4.576818	10.224497	12.494366	10.231506
20080321	5.1209884	12.059765	13.910458	11.784557
20080331	5.1380367	11.404353	12.463192	6.3101482
20080410	8.727527	9.232714	5.672595	6.1516767
20080420	2.440963	3.889987	7.1899085	8.335631
20080430	1.0942643	0.7984052	0.9539188	2.5747347
20080510	1.1774108	-3.3855202	-3.8402548	3.0031347
20080520	2.2682638	2.162683	5.1738706	7.807041
20080530	0.9212442	-4.8240957	-4.3776846	2.5118837
20080609	3.5981352	0.11906766	-0.3505892	4.7625723
20080619	0.99335164	0.3503445	1.2450194	4.6707163
20080629	-3.6826384	2.4773464	10.118426	20.85215
20080709	1.0735528	14.635157	27.745045	22.274328
20080719	2.285267	20.51818	14.589775	19.791956
20080729	1.8952817	14.120697	15.032631	22.614706
20080808	0.8421836	20.338644	33.22142	38.731277
20080818	2.5623317	21.554695	37.57953	33.94872
20080828	3.2156253	17.812105	32.389427	32.429176
20080907	5.872382	18.108513	26.283014	29.027237
20080917		12.532679		
20080927	6.1088533	10.664555	17.436234	14.100634
20081007	5.712365	5.2920475	6.440539	6.290086
20081017	5.7018185	3.718724	5.7066016	6.290669
20081027	4.128875	5.023501	8.214478	6.900512
20081106	5.578914	6.193984	6.963375	7.5527124
20081116	4.9014645	4.3181953	13.470264	11.212292
20081126	5.6967287	7.029193	12.099013	
20081206	9.097022		12.005854	10.623425
20081216			13.353781	11.161493
20090101	9.617136	10.053784	12.601097	11.835148
20090111				
20090121	10.084418	9.662614		
20090131				
20090210		11.309253		
20090220				
20090302			21.638905	
20090312	7.2103353	14.321421	28.994253	16.498638
20090322	7.8592978	12.601867		
20090401	7.4930367	12.060607	16.01289	13.830017
20090411	6.3382263	6.0337753	8.055026	12.255336
20090421	2.4433744	-1.6819818	2.1274316	7.223856
20090501	2.6205907	3.3101501	5.4748178	6.1974144
20090511	1.8797134	4.010694	0.485789	0.36121556
20090521	-0.2567249	6.327991	-4.231828	3.374132
20090531	-2.9651206	-5.3060107	2.873174	0.18581049
20090610	-2.1827064	-2.6386971	1.2226783	6.2497063
20090620			8.26494	-4.1550035
20090630	1.3977545	-3.0826511	-1.0249281	-0.50960946
20090710	0.10975972	-2.0938528	6.7677426	5.4353557
20090720	1.9818443	2.9267764	14.2231045	14.771879
20090730	-0.7340884	9.988587	21.962635	29.880283
20090809	6.1848135	20.050379	24.842966	17.527004
20090819	1.6701368	21.1092	20.303232	23.33638
20090829	11.200757	30.008526	35.048004	26.533546
20090908	12.516314	28.097866	33.154366	27.88873
20090918	10.428283	17.57098	20.976511	18.375158
20090928	7.898052	17.6654	15.785721	12.628549
20091008	6.6859393		9.97062	
20091018	6.960876	6.915092	10.346925	
20091028	6.2467337	8.582707	11.700375	10.633949
20091107	5.38456	7.411044	8.428443	7.8827753
20091117				
20091127				
20091207				8.981099
20091217	9.499275	7.8192124		
20100101	6.152637	9.018929	11.9693165	10.469873
20100111		10.796064		
20100121				10.834975
20100131				
20100210		5.193396		
20100220				9.767055
20100302	4.1876535	7.89077	9.785031	11.77218
20100312	5.464693	9.894444	8.571394	10.637095
20100322	5.4893985	8.622529	9.477105	9.516108
20100401	2.1607082	8.571666	13.36916	10.525706
20100411	6.7613626	6.863566	8.018395	8.255119
20100421	1.9481083	2.2789905	0.94470084	1.8216313
20100501	0.11430392	-2.0732436	-2.4978957	
20100511	-5.452142	-8.509933	-1.4798293	5.9473352
20100521	0.26557547	1.5287186	-2.8396251	3.4131217
20100531	-2.6502235	-6.7175927	1.3890405	2.8573844
20100610	4.088216	-3.704619	-3.5429003	2.4966989
20100620	-1.6327488	-5.0269814	7.7658596	4.344916
20100630	3.1913342	1.0772686	0.35747615	3.0214088
20100710	1.8614131	5.3671007	10.138833	8.952757
20100720	0.3746882	8.817814	22.39234	24.676893
20100730	13.089945	5.9652452	9.806601	-4.4253664
20100809	9.546203	6.9916844	25.456562	33.148457
20100819	10.302656	2.0476465	23.179274	25.698612
20100829				
20100908	11.90755	7.0752535	13.636143	12.381605
20100918	10.401265	7.373136	9.733275	11.401382
20100928	1.3365045			10.170845
20101008	6.292742	7.8014474	6.845314	10.207549
20101018	2.072873	6.2966795	8.579878	8.039716
20101028	4.8720474	7.11368	6.96998	8.726193
20101107	5.8239017	4.53241	8.411265	7.6005254
20101117		6.3351707	10.301561	
20101127	8.817691	8.490973		9.284232
20101207				
20101217				
20110101			8.9693575	
20110111	8.210397		9.09701	10.165723
20110121	9.124944	10.244873		
20110131	9.693677	10.413165	10.517641	11.017993
20110210	9.891666	10.468009	10.713225	10.286449
20110220	8.2653475	10.648855	11.23086	12.206551
20110302	9.1382065	10.477613		
20110312	8.271011	9.55042	10.265659	10.82027
20110322	6.5760617	13.065593	15.730043	14.638954
20110401	6.1820245	10.377268	11.034046	6.9480453
20110411	3.5696385	6.4174657	10.823414	8.99925
20110421	4.3344827	3.6992471	2.2547545	2.4780502
20110501	-1.0832727	1.8388792	3.5431182	2.414083
20110511	-1.5764134	0.45450282	-1.9583589	2.1130416
20110521	3.3496273	1.8566747	-1.1391412	1.513872
20110531	-2.5496833	-2.3319924	-1.6877109	0.10422174
20110610	-2.1866095	-1.1688838	-3.9900737	1.932333
20110620	-4.468301	-9.690121	0.6501936	5.3624444
20110630	0.46978253	3.399288	15.44125	12.521448
20110710	-2.043938	4.7897925	15.430272	12.670118
20110720	0.8054631	18.237877	32.998024	29.698244
20110730	5.8919954	17.65394	21.425055	24.599184
20110809	1.8189073	22.81585	29.608152	24.362448
20110819	5.697875	19.90486	31.46601	32.705875
20110829	5.649687	41.67437	46.057793	40.776543
20110908	6.9085755	35.104183	35.06817	33.342064
20110918	10.952632	24.341316	29.674751	24.344477
20110928	8.622323	15.323365	15.7184925	11.5788355
20111008	11.368266	13.396473	13.478971	12.584271
20111018	10.238385	10.15295	9.843483	8.570947
20111028	8.665101	8.835876	8.367561	8.106198
20111107	8.727954	8.905645	7.7117906	8.573055
20111117				
20111127			10.093193	9.898074
20111207	6.579853			10.811199
20111217	7.5261297	10.075096	11.5053625	9.855506
